Id,Latitude,Longitude
527,39.796744,-86.23877
528,39.796753,-86.23877
529,39.796762,-86.238771
530,39.796771,-86.238771
531,39.79678,-86.238771
532,39.796789,-86.238772
533,39.796798,-86.238772
534,39.796807,-86.238772
535,39.796816,-86.238773
536,39.796825,-86.238773
537,39.796834,-86.238773
538,39.796843,-86.238774
539,39.796852,-86.238774
540,39.796861,-86.238775
541,39.79687,-86.238775
542,39.796879,-86.238776
543,39.796888,-86.238777
544,39.796897,-86.238777
545,39.796906,-86.238778
546,39.796915,-86.238778
547,39.796924,-86.238779
548,39.796933,-86.23878
549,39.796942,-86.23878
550,39.796951,-86.238781
551,39.79696,-86.238782
552,39.796969,-86.238782
553,39.796978,-86.238783
554,39.796987,-86.238783
555,39.796996,-86.238784
556,39.797005,-86.238784
557,39.797014,-86.238785
558,39.797023,-86.238786
559,39.797032,-86.238786
560,39.797041,-86.238787
561,39.79705,-86.238787
562,39.797059,-86.238788
563,39.797068,-86.238788
564,39.797077,-86.238789
565,39.797086,-86.238789
566,39.797095,-86.23879
567,39.797104,-86.23879
568,39.797113,-86.23879
569,39.797122,-86.238791
570,39.797131,-86.238791
571,39.79714,-86.238792
572,39.797149,-86.238792
573,39.797158,-86.238793
574,39.797167,-86.238793
575,39.797176,-86.238793
576,39.797185,-86.238793
577,39.797194,-86.238793
578,39.797203,-86.238794
579,39.797212,-86.238794
580,39.797221,-86.238794
581,39.797229,-86.238794
582,39.797238,-86.238795
583,39.797247,-86.238795
584,39.797256,-86.238795
585,39.797265,-86.238796
586,39.797274,-86.238796
587,39.797283,-86.238796
588,39.797292,-86.238796
589,39.797301,-86.238796
590,39.79731,-86.238796
591,39.797319,-86.238796
592,39.797328,-86.238797
593,39.797337,-86.238797
594,39.797346,-86.238797
595,39.797355,-86.238797
596,39.797364,-86.238797
597,39.797373,-86.238798
598,39.797382,-86.238798
599,39.797391,-86.238798
600,39.7974,-86.238798
601,39.797409,-86.238798
602,39.797418,-86.238798
603,39.797427,-86.238798
604,39.797436,-86.238798
605,39.797445,-86.238798
606,39.797454,-86.238798
607,39.797463,-86.238798
608,39.797472,-86.238798
609,39.797481,-86.238798
610,39.79749,-86.238798
611,39.797499,-86.238798
612,39.797508,-86.238798
613,39.797517,-86.238798
614,39.797526,-86.238798
615,39.797535,-86.238798
616,39.797544,-86.238798
617,39.797553,-86.238798
618,39.797562,-86.238798
619,39.797571,-86.238798
620,39.79758,-86.238798
621,39.797589,-86.238798
622,39.797598,-86.238797
623,39.797607,-86.238797
624,39.797616,-86.238797
625,39.797625,-86.238797
626,39.797634,-86.238797
627,39.797643,-86.238797
628,39.797652,-86.238796
629,39.797661,-86.238796
630,39.79767,-86.238796
631,39.797679,-86.238796
632,39.797688,-86.238796
633,39.797697,-86.238796
634,39.797706,-86.238795
635,39.797715,-86.238795
636,39.797724,-86.238795
